# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      1      0     3.96217394801605E-02   3.96217394801605E-02
    2      1      1     8.33754911698054E-20   1.66750982339611E-19
    3      2      1     3.84036575126220E-13   1.15210972537866E-12
    4      2      2     2.40094565129585E-01   9.60378260518342E-01
    7      4      3     4.92045719830111E-14   3.44432003881078E-13
    8      5      3     3.27785130448061E-19   2.62228104358449E-18
