# time[s], T9[GK], density[g/cm^3], Ye 
# 
5.304517024878862230e+00 5.790321299774816133e+00 1.456965279976901208e-03 8.343346788662415747e-01
5.573526101716886672e+00 5.648856822802224897e+00 1.352766733890662255e-03 8.343346788662415747e-01
5.856177491904428045e+00 5.510848492252097053e+00 1.256020209589498587e-03 8.343346788662415747e-01
6.153163040920136773e+00 5.376211870332350706e+00 1.166192756943383764e-03 8.343346788662415747e-01
6.465209679946537946e+00 5.244864582167188871e+00 1.082789541094802228e-03 8.343346788662415747e-01
6.793081205178639337e+00 5.116726265397581130e+00 1.005351116548917900e-03 8.343346788662415747e-01
7.137580147366985095e+00 4.991718521013079446e+00 9.334508962140623291e-04 8.343346788662415747e-01
7.499549736171244874e+00 4.869764865384855312e+00 8.666928014501682365e-04 8.343346788662415747e-01
7.879875964132470045e+00 4.750790683470639486e+00 8.047090801799205604e-04 8.343346788662415747e-01
8.279489755315998067e+00 4.634723183162916094e+00 7.471582810431893085e-04 8.343346788662415747e-01
8.699369243933212204e+00 4.521491350752444127e+00 6.937233724349151955e-04 8.343346788662415747e-01
9.140542168519502297e+00 4.411025907479864117e+00 6.441099960647478492e-04 8.343346788662415747e-01
9.604088387528690873e+00 4.303259267148790812e+00 5.980448454177650320e-04 8.343346788662415747e-01
1.009114252250130583e+01 4.198125494774478383e+00 5.552741601836677860e-04 8.343346788662415747e-01
1.060289673527640275e+01 4.095560266242745051e+00 5.155623283606662480e-04 8.343346788662415747e-01
1.114060364604473108e+01 3.995500828954474226e+00 4.786905883334301366e-04 8.343346788662415747e-01
1.170557939938568026e+01 3.897885963431626966e+00 4.444558237752107102e-04 8.343346788662415747e-01
1.229920688579286114e+01 3.802655945861253883e+00 4.126694447355723190e-04 8.343346788662415747e-01
1.292293912657355115e+01 3.709752511554612830e+00 3.831563487499606074e-04 8.343346788662415747e-01
1.357830283040725305e+01 3.619118819299013801e+00 3.557539562481360071e-04 8.343346788662415747e-01
1.426690213026875220e+01 3.530699416580600491e+00 3.303113149478087885e-04 8.343346788662415747e-01
1.499042250986253677e+01 3.444440205656772669e+00 3.066882682998191582e-04 8.343346788662415747e-01
1.575063492917928976e+01 3.360288410457506814e+00 2.847546834040597607e-04 8.343346788662415747e-01
1.654940015927259367e+01 3.278192544295310817e+00 2.643897341429350483e-04 8.343346788662415747e-01
1.738867333686611971e+01 3.198102378364065412e+00 2.454812355833412767e-04 8.343346788662415747e-01
1.827050874993939544e+01 3.119968911007485080e+00 2.279250259805682256e-04 8.343346788662415747e-01
1.919706486600624729e+01 3.043744337738367722e+00 2.116243929797462567e-04 8.343346788662415747e-01
2.017060961539310426e+01 2.969382021990329523e+00 1.964895408539481031e-04 8.343346788662415747e-01
2.119352594244947596e+01 2.896836466584101544e+00 1.824370958440995857e-04 8.343346788662415747e-01
2.226831763827804522e+01 2.826063285890935806e+00 1.693896468757533080e-04 8.343346788662415747e-01
2.339761546926121838e+01 2.757019178676100246e+00 1.572753191226619585e-04 8.343346788662415747e-01
2.458418361638500826e+01 2.689661901605829630e+00 1.460273780680263649e-04 8.343346788662415747e-01
2.583092644112147340e+01 2.623950243401548921e+00 1.355838618823044237e-04 8.343346788662415747e-01
2.714089559443110389e+01 2.559843999625518673e+00 1.258872400924443348e-04 8.343346788662415747e-01
2.851729748628510919e+01 2.497303948082518321e+00 1.168840966622523001e-04 8.343346788662415747e-01
2.996350113399157777e+01 2.436291824822481189e+00 1.085248357380639515e-04 8.343346788662415747e-01
3.148304640853506697e+01 2.376770300729420526e+00 1.007634084387577203e-04 8.343346788662415747e-01
3.307965269911476724e+01 2.318702958682312687e+00 9.355705918506861520e-05 8.343346788662415747e-01
3.475722801708908349e+01 2.262054271273973516e+00 8.686609017080160287e-05 8.343346788662415747e-01
