# time[s], T9[GK], density[g/cm^3], Ye 
# 
5.304517024878862230e+00 5.790321299774816133e+00 5.692275839243722373e-03 8.343346788662415747e-01
5.573526101716886672e+00 5.648856822802224897e+00 5.285178378156368817e-03 8.343346788662415747e-01
5.856177491904428045e+00 5.510848492252097053e+00 4.907195518592927762e-03 8.343346788662415747e-01
6.153163040920136773e+00 5.376211870332350706e+00 4.556245056405938514e-03 8.343346788662415747e-01
6.465209679946537946e+00 5.244864582167188871e+00 4.230393701528328311e-03 8.343346788662415747e-01
6.793081205178639337e+00 5.116726265397581130e+00 3.927846428007421634e-03 8.343346788662415747e-01
7.137580147366985095e+00 4.991718521013079446e+00 3.646936585698147895e-03 8.343346788662415747e-01
7.499549736171244874e+00 4.869764865384855312e+00 3.386116719143413001e-03 8.343346788662415747e-01
7.879875964132470045e+00 4.750790683470639486e+00 3.143950043065420544e-03 8.343346788662415747e-01
8.279489755315998067e+00 4.634723183162916094e+00 2.919102527508716637e-03 8.343346788662415747e-01
8.699369243933212204e+00 4.521491350752444127e+00 2.710335549034186952e-03 8.343346788662415747e-01
9.140542168519502297e+00 4.411025907479864117e+00 2.516499067481458088e-03 8.343346788662415747e-01
9.604088387528690873e+00 4.303259267148790812e+00 2.336525290712323458e-03 8.343346788662415747e-01
1.009114252250130583e+01 4.198125494774478383e+00 2.169422792436036338e-03 8.343346788662415747e-01
1.060289673527640275e+01 4.095560266242745051e+00 2.014271050713155233e-03 8.343346788662415747e-01
1.114060364604473108e+01 3.995500828954474226e+00 1.870215377052050982e-03 8.343346788662415747e-01
1.170557939938568026e+01 3.897885963431626966e+00 1.736462208163881346e-03 8.343346788662415747e-01
1.229920688579286114e+01 3.802655945861253883e+00 1.612274734439562247e-03 8.343346788662415747e-01
1.292293912657355115e+01 3.709752511554612830e+00 1.496968841067249480e-03 8.343346788662415747e-01
1.357830283040725305e+01 3.619118819299013801e+00 1.389909339431024673e-03 8.343346788662415747e-01
1.426690213026875220e+01 3.530699416580600491e+00 1.290506468030621062e-03 8.343346788662415747e-01
1.499042250986253677e+01 3.444440205656772669e+00 1.198212643646686228e-03 8.343346788662415747e-01
1.575063492917928976e+01 3.360288410457506814e+00 1.112519444854665656e-03 8.343346788662415747e-01
1.654940015927259367e+01 3.278192544295310817e+00 1.032954811270286400e-03 8.343346788662415747e-01
1.738867333686611971e+01 3.198102378364065412e+00 9.590804430980698044e-04 8.343346788662415747e-01
1.827050874993939544e+01 3.119968911007485080e+00 8.904893866576939860e-04 8.343346788662415747e-01
1.919706486600624729e+01 3.043744337738367722e+00 8.268037925875120929e-04 8.343346788662415747e-01
2.017060961539310426e+01 2.969382021990329523e+00 7.676728343758153520e-04 8.343346788662415747e-01
2.119352594244947596e+01 2.896836466584101544e+00 7.127707757535742738e-04 8.343346788662415747e-01
2.226831763827804522e+01 2.826063285890935806e+00 6.617951763024600056e-04 8.343346788662415747e-01
2.339761546926121838e+01 2.757019178676100246e+00 6.144652253933383448e-04 8.343346788662415747e-01
